title,season,episodenumber,episodename,rating
Seinfeld,1,1,"Good News, Bad News",7.6
Seinfeld,1,2,The Stakeout,7.7
Seinfeld,1,3,The Robbery,7.6
Seinfeld,1,4,Male Unbonding,7.4
Seinfeld,1,5,The Stock Tip,7.5
Seinfeld,2,1,The Ex-Girlfriend,7.7
Seinfeld,2,2,The Pony Remark,7.9
Seinfeld,2,3,The Jacket,8.4
Seinfeld,2,4,The Phone Message,8.4
Seinfeld,2,5,The Apartment,7.9
Seinfeld,2,6,The Statue,8.1
Seinfeld,2,7,The Revenge,8.3
Seinfeld,2,8,The Heart Attack,7.9
Seinfeld,2,9,The Deal,8.3
Seinfeld,2,10,The Baby Shower,7.5
Seinfeld,2,11,The Chinese Restaurant,8.7
Seinfeld,2,12,The Busboy,7.7
Seinfeld,3,1,The Note,8.2
Seinfeld,3,2,The Truth,7.8
Seinfeld,3,3,The Pen,8.2
Seinfeld,3,4,The Dog,7.4
Seinfeld,3,5,The Library,8.7
Seinfeld,3,6,The Parking Garage,8.8
Seinfeld,3,7,The Cafe,8.5
Seinfeld,3,8,The Tape,8.7
Seinfeld,3,9,The Nose Job,8.0
Seinfeld,3,10,The Stranded,7.5
Seinfeld,3,11,The Alternate Side,8.3
Seinfeld,3,12,The Red Dot,8.4
Seinfeld,3,13,The Subway,8.7
Seinfeld,3,14,The Pez Dispenser,8.4
Seinfeld,3,15,The Suicide,7.5
Seinfeld,3,16,The Fix Up,8.4
Seinfeld,3,17,The Boyfriend,8.7
Seinfeld,3,18,The Limo,8.9
Seinfeld,3,19,The Good Samaritan,8.0
Seinfeld,3,20,The Letter,8.0
Seinfeld,3,21,The Parking Space,8.3
Seinfeld,3,22,The Keys,8.4
Seinfeld,4,1,The Trip: Part 1,8.3
Seinfeld,4,2,The Trip: Part 2,8.3
Seinfeld,4,3,The Pitch,8.6
Seinfeld,4,4,The Ticket,8.3
Seinfeld,4,5,The Wallet,8.1
Seinfeld,4,6,The Watch,8.1
Seinfeld,4,7,The Bubble Boy,8.8
Seinfeld,4,8,The Cheever Letters,8.5
Seinfeld,4,9,The Opera,8.2
Seinfeld,4,10,The Virgin,8.2
Seinfeld,4,11,The Contest,9.6
Seinfeld,4,12,The Airport,8.9
Seinfeld,4,13,The Pick,8.5
Seinfeld,4,14,The Movie,8.2
Seinfeld,4,15,The Visa,8.1
Seinfeld,4,16,The Shoes,8.2
Seinfeld,4,17,The Outing,9.4
Seinfeld,4,18,The Old Man,8.0
Seinfeld,4,19,The Implant,8.6
Seinfeld,4,20,The Junior Mint,8.8
Seinfeld,4,21,The Smelly Car,8.5
Seinfeld,4,22,The Handicap Spot,8.3
Seinfeld,4,23,The Pilot,8.6
Seinfeld,5,1,The Mango,8.5
Seinfeld,5,2,The Puffy Shirt,8.9
Seinfeld,5,3,The Glasses,8.4
Seinfeld,5,4,The Sniffing Accountant,8.1
Seinfeld,5,5,The Bris,8.1
Seinfeld,5,6,The Lip Reader,8.5
Seinfeld,5,7,The Non-Fat Yogurt,8.5
Seinfeld,5,8,The Barber,8.4
Seinfeld,5,9,The Masseuse,7.8
Seinfeld,5,10,The Cigar Store Indian,8.4
Seinfeld,5,11,The Conversion,8.2
Seinfeld,5,12,The Stall,8.6
Seinfeld,5,13,The Dinner Party,8.2
Seinfeld,5,14,The Marine Biologist,9.2
Seinfeld,5,15,The Pie,8.5
Seinfeld,5,16,The Stand-In,7.6
Seinfeld,5,17,The Wife,8.1
Seinfeld,5,18,The Raincoats,8.5
Seinfeld,5,19,The Fire,8.6
Seinfeld,5,20,The Hamptons,9.0
Seinfeld,5,21,The Opposite,9.6
Seinfeld,6,1,The Chaperone,8.2
Seinfeld,6,2,The Big Salad,8.2
Seinfeld,6,3,The Pledge Drive,8.3
Seinfeld,6,4,The Chinese Woman,8.2
Seinfeld,6,5,The Couch,8.1
Seinfeld,6,6,The Gymnast,8.2
Seinfeld,6,7,The Soup,8.2
Seinfeld,6,8,The Mom and Pop Store,8.1
Seinfeld,6,9,The Secretary,8.2
Seinfeld,6,10,The Race,8.9
Seinfeld,6,11,The Switch,8.9
Seinfeld,6,12,The Label Maker,8.6
Seinfeld,6,13,The Scofflaw,8.1
Seinfeld,6,14,Highlights of a Hundred,7.4
Seinfeld,6,15,The Beard,8.3
Seinfeld,6,16,The Kiss Hello,8.3
Seinfeld,6,17,The Doorman,8.3
Seinfeld,6,18,The Jimmy,8.9
Seinfeld,6,19,The Doodle,8.3
Seinfeld,6,20,The Fusilli Jerry,8.7
Seinfeld,6,21,The Diplomat's Club,8.2
Seinfeld,6,22,The Face Painter,8.5
Seinfeld,6,23,The Understudy,8.0
Seinfeld,7,1,The Engagement,8.8
Seinfeld,7,2,The Postponement,8.4
Seinfeld,7,3,The Maestro,8.2
Seinfeld,7,4,The Wink,8.6
Seinfeld,7,5,The Hot Tub,8.6
Seinfeld,7,6,The Soup Nazi,9.5
Seinfeld,7,7,The Secret Code,8.6
Seinfeld,7,8,The Pool Guy,8.5
Seinfeld,7,9,The Sponge,8.3
Seinfeld,7,10,The Gum,8.6
Seinfeld,7,11,The Rye,8.9
Seinfeld,7,12,The Caddy,8.6
Seinfeld,7,13,The Seven,8.2
Seinfeld,7,14,The Cadillac,8.4
Seinfeld,7,15,The Shower Head,8.5
Seinfeld,7,16,The Doll,8.1
Seinfeld,7,17,The Friars Club,7.9
Seinfeld,7,18,The Wig Master,8.1
